name,prev_position,team,xP,xA,xG,xGI,A,G,GI,bonus,bps,minutes,total_points,prev_price,GW,current_price,current_position,current_team
Craig Dawson,DEF,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,DEF,Wolves
Toti António Gomes,DEF,Wolves,1.7,0.0,0.0,0.0,0,0,0,0,12,90,1,44,13,45.0,DEF,Wolves
Nayef Aguerd,DEF,West Ham,1.5,0.0,0.0,0.0,0,0,0,0,7,90,1,45,13,45.0,DEF,West Ham
Diogo Dalot Teixeira,DEF,Man Utd,8.5,0.05,0.0,0.05,1,0,1,3,38,90,12,50,13,50.0,DEF,Man Utd
Amadou Onana,MID,Everton,-0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,48,13,50.0,MID,Aston Villa
Youssef Ramalho Chermiti,FWD,Everton,-0.2,0.0,0.23,0.23,0,0,0,0,5,8,1,49,13,50.0,FWD,Everton
Bukayo Saka,MID,Arsenal,5.5,0.46,0.0,0.46,1,0,1,2,29,90,8,87,13,100.0,MID,Arsenal
Ben Mee,DEF,Brentford,0.8,0.04,0.0,0.04,0,0,0,0,16,90,2,48,13,45.0,DEF,Brentford
Joe Worrall,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,DEF,Nott'm Forest
Diego Carlos Santos Silva,DEF,Aston Villa,0.8,0.0,0.11,0.11,0,0,0,0,14,90,2,44,13,45.0,DEF,Aston Villa
Lewis Cook,MID,Bournemouth,1.8,0.11,0.0,0.11,0,0,0,0,12,90,2,50,13,50.0,MID,Bournemouth
Malo Gusto,DEF,Chelsea,-0.2,0.0,0.0,0.0,0,0,0,0,0,0,0,42,13,50.0,DEF,Chelsea
Noni Madueke,MID,Chelsea,-0.2,0.0,0.0,0.0,0,0,0,0,3,3,1,53,13,65.0,MID,Chelsea
Milos Kerkez,DEF,Bournemouth,0.5,0.07,0.08,0.15,0,0,0,0,4,45,1,44,13,45.0,DEF,Bournemouth
Kortney Hause,DEF,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,DEF,Aston Villa
Will Hughes,MID,Crystal Palace,2.5,0.1,0.0,0.1,0,0,0,0,3,36,1,49,13,50.0,MID,Crystal Palace
Alexander Isak,FWD,Newcastle,1.6,0.01,0.64,0.65,0,1,1,2,25,80,8,74,13,85.0,FWD,Newcastle
Garang Kuol,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Newcastle
Ethan Pinnock,DEF,Brentford,0.8,0.01,0.0,0.01,0,0,0,0,15,90,2,46,13,45.0,DEF,Brentford
Jay Stansfield,FWD,Fulham,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,50.0,FWD,Fulham
Ryan Yates,MID,Nott'm Forest,0.7,0.0,0.46,0.46,0,0,0,0,1,21,1,49,13,50.0,MID,Nott'm Forest
Frank Onyeka,MID,Brentford,2.2,0.0,0.0,0.0,0,0,0,0,10,90,2,49,13,50.0,MID,Brentford
Naouirou Ahamada,MID,Crystal Palace,1.5,0.02,0.02,0.04,0,0,0,0,1,10,1,43,13,45.0,MID,Crystal Palace
Philip Billing,MID,Bournemouth,0.8,0.0,0.14,0.14,0,0,0,0,0,24,0,52,13,50.0,MID,Bournemouth
Marc Guéhi,DEF,Crystal Palace,2.8,0.01,0.0,0.01,0,0,0,0,14,90,1,46,13,45.0,DEF,Crystal Palace
Diogo Teixeira da Silva,MID,Liverpool,3.5,0.0,0.0,0.0,0,0,0,0,0,53,1,77,13,75.0,MID,Liverpool
Erling Haaland,FWD,Man City,6.4,0.01,0.73,0.74,0,1,1,1,25,90,7,140,13,150.0,FWD,Man City
Danny Welbeck,FWD,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,57,13,55.0,FWD,Brighton
Carlos Vinícius Alves Morais,FWD,Fulham,0.3,0.0,0.0,0.0,0,0,0,0,-1,14,0,47,13,50.0,FWD,Fulham
Victor Lindelöf,DEF,Man Utd,7.5,0.0,0.0,0.0,0,0,0,0,26,90,6,45,13,45.0,DEF,Man Utd
Kevin De Bruyne,MID,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,102,13,95.0,MID,Man City
Lucas Bergström,GK,Chelsea,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,GK,Chelsea
Lewis Miley,MID,Newcastle,3.2,0.44,0.05,0.49,1,0,1,1,22,90,6,45,13,50.0,MID,Newcastle
Roméo Lavia,MID,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,49,13,45.0,MID,Chelsea
Aaron Hickey,DEF,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,DEF,Brentford
Solly March,MID,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,62,13,65.0,MID,Brighton
David Datro Fofana,FWD,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,13,55.0,FWD,Chelsea
Declan Rice,MID,Arsenal,2.8,0.04,0.03,0.07,0,0,0,0,14,90,3,54,13,65.0,MID,Arsenal
Kacper Kozłowski,MID,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Brighton
Ben Doak,MID,Liverpool,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,MID,Liverpool
Mathias Jensen,MID,Brentford,1.8,0.0,0.0,0.0,0,0,0,0,0,0,0,54,13,55.0,MID,Brentford
Wesley Fofana,DEF,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,DEF,Chelsea
Max Kilman,DEF,Wolves,1.3,0.01,0.01,0.02,0,0,0,0,11,90,1,45,13,45.0,DEF,West Ham
Nathan Aké,DEF,Man City,4.3,0.03,0.0,0.03,1,0,1,2,27,90,7,50,13,55.0,DEF,Man City
Lewis Hall,DEF,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,13,45.0,DEF,Newcastle
Deivid Washington de Souza Eugênio,FWD,Chelsea,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,50.0,FWD,Chelsea
Elliot Anderson,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,13,50.0,MID,Nott'm Forest
Mykhailo Mudryk,MID,Chelsea,0.2,0.0,0.0,0.0,0,0,0,0,4,21,1,63,13,65.0,MID,Chelsea
Dejan Kulusevski,MID,Spurs,3.7,0.25,0.66,0.91,0,0,0,0,3,90,2,70,13,65.0,MID,Spurs
Daniel Castelo Podence,MID,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,53,13,55.0,MID,Wolves
Conor Gallagher,MID,Chelsea,5.5,0.06,0.22,0.28,0,0,0,0,3,68,2,54,13,60.0,MID,Chelsea
Eberechi Eze,MID,Crystal Palace,4.2,0.04,0.1,0.14,0,0,0,0,4,48,1,62,13,70.0,MID,Crystal Palace
Hwang Ui-jo,FWD,Nott'm Forest,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,FWD,Nott'm Forest
Julio Enciso,MID,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,51,13,55.0,MID,Brighton
Steven Benda,GK,Fulham,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,GK,Fulham
Norberto Murara Neto,GK,Bournemouth,4.2,0.0,0.0,0.0,0,0,0,0,10,90,2,45,13,45.0,GK,Bournemouth
Jérémy Doku,MID,Man City,9.5,0.74,0.07,0.81,0,0,0,3,30,90,5,67,13,65.0,MID,Man City
Antonee Robinson,DEF,Fulham,2.3,0.26,0.03,0.29,1,0,1,0,23,90,4,44,13,45.0,DEF,Fulham
Raúl Jiménez,FWD,Fulham,3.3,0.0,0.11,0.11,0,0,0,0,2,75,2,52,13,55.0,FWD,Fulham
Hwang Hee-chan,MID,Wolves,4.7,0.01,0.94,0.95,0,1,1,0,22,90,7,55,13,65.0,MID,Wolves
Jordan Pickford,GK,Everton,1.2,0.0,0.0,0.0,0,0,0,0,9,90,1,44,13,50.0,GK,Everton
Bruno Guimarães Rodriguez Moura,MID,Newcastle,1.8,0.09,0.2,0.29,0,0,0,0,17,90,2,58,13,65.0,MID,Newcastle
Ryan Fraser,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,49,13,50.0,MID,Newcastle
Harry Maguire,DEF,Man Utd,6.8,0.0,0.06,0.06,0,0,0,0,22,90,6,43,13,50.0,DEF,Man Utd
Matheus Santos Carneiro Da Cunha,FWD,Wolves,4.7,0.01,0.21,0.22,0,1,1,1,27,82,7,55,13,65.0,FWD,Wolves
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Wolves
Ki-Jana Hoever,DEF,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,DEF,Wolves
Moussa Diaby,MID,Aston Villa,3.0,0.03,0.1,0.13,0,0,0,0,3,45,1,68,13,65.0,MID,Aston Villa
Pau Torres,DEF,Aston Villa,3.7,0.0,0.38,0.38,0,1,1,0,24,90,8,46,13,45.0,DEF,Aston Villa
Santiago Bueno,DEF,Wolves,0.3,0.0,0.0,0.0,0,0,0,0,16,90,1,45,13,45.0,DEF,Wolves
Jarrad Branthwaite,DEF,Everton,0.5,0.0,0.0,0.0,0,0,0,0,19,90,1,40,13,50.0,DEF,Everton
Martin Ødegaard,MID,Arsenal,1.1,0.14,0.09,0.23,0,0,0,0,10,90,3,83,13,85.0,MID,Arsenal
Matheus Luiz Nunes,MID,Man City,0.6,0.0,0.0,0.0,0,0,0,0,0,0,0,49,13,50.0,MID,Man City
Luke Harris,MID,Fulham,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Fulham
Tom King,GK,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,GK,Wolves
Rúben Gato Alves Dias,DEF,Man City,1.2,0.02,0.11,0.13,0,0,0,0,15,90,2,55,13,55.0,DEF,Man City
Djed Spence,DEF,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,45.0,DEF,Spurs
Emiliano Martínez Romero,GK,Aston Villa,2.0,0.0,0.0,0.0,0,0,0,0,21,90,4,49,13,50.0,GK,Aston Villa
Bobby De Cordova-Reid,MID,Fulham,0.7,0.0,0.0,0.0,0,0,0,0,0,0,0,54,13,55.0,MID,Leicester
Tomáš Souček,MID,West Ham,5.8,0.0,0.63,0.63,0,1,1,1,25,90,8,49,13,50.0,MID,West Ham
Joško Gvardiol,DEF,Man City,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,50,13,60.0,DEF,Man City
Cole Palmer,MID,Chelsea,6.2,0.04,0.0,0.04,0,0,0,0,12,74,2,52,13,105.0,MID,Chelsea
Carlos Henrique Casimiro,MID,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,13,50.0,MID,Man Utd
Tom Heaton,GK,Man Utd,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,GK,Man Utd
Sepp van den Berg,DEF,Liverpool,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,40.0,DEF,Liverpool
Max Aarons,DEF,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,DEF,Bournemouth
Cristian Romero,DEF,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,49,13,50.0,DEF,Spurs
Daniel Bentley,GK,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,39,13,40.0,GK,Wolves
Jan Paul van Hecke,DEF,Brighton,2.0,0.01,0.06,0.07,0,0,0,0,17,90,1,40,13,45.0,DEF,Brighton
Carney Chukwuemeka,MID,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,13,50.0,MID,Chelsea
Odysseas Vlachodimos,GK,Nott'm Forest,3.3,0.0,0.0,0.0,0,0,0,0,11,90,1,45,13,45.0,GK,Newcastle
